mom,pup,grandpup,greatgrandpup
R006,Q21/22,R66/67,
R006,Q21/22,I11/12,
R006,Q21/22,V06/07,L02/03
R006,Q21/22,V06/07,N12/13
R006,Q21/22,V06/07,Died 3/27/14
R006,Q21/22,V06/07,G14/15 M Died 5/28/15
R006,Q21/22,V06/07,H60/61
R006,Q21/22,V06/07,J40/41
R006,Q21/22,V06/07,K86/87
R006,Q21/22,V06/07,L76/77
R006,Q21/22,V06/07,"""L10"""
R006,Q21/22,O22/23,
R006,Q21/22,B04/05,
R006,Q21/22,W12/13,
R006,Q21/22,A02/03,
R006,Q21/22,K48/49,H82/83
R006,Q21/22,K48/49,J02/03 
R006,Q21/22,K48/49,K98/99
R006,Q21/22,K48/49,L68/69
R006,Q21/22,K48/49,"""L8"""
R006,Q21/22,K48/49,"""L8"""
R006,Q21/22,L04/05,K84/85
R006,Q21/22,L04/05,L70/71
R006,Q21/22,L04/05,"""L5"""
R006,Q21/22,L04/05,P50/P51
R006,Q21/22,N14/15,
R006,Q21/22,F24/25,
R006,Q21/22,G18/19,
R006,Y30/31,R64/65,
R006,Y30/31,I15/16,W00/01
R006,Y30/31,I15/16,T00/01
R006,Y30/31,I15/16,K00/01
R006,Y30/31,I15/16,L00/01
R006,Y30/31,I15/16,N00/01
R006,Y30/31,V00/02,
R006,Y30/31,O30/31,
R006,Y30/31,B10/11,
R006,Y30/31,W10/11,
R006,Y30/31,A08/09,
R006,Y30/31,T20/21,
R006,Y30/31,No Tag,
R006,Y30/31,N18/19,KB0/1
R006,Y30/31,N18/19,L74/L75
R006,Y30/31,N18/19,"""L11"""
R006,Y30/31,N18/19,P92/P93
R006,Y30/31,F60/61,
R006,D32/33,,
R006,H42/43,,
R006,M72/73,,
R006,E72/73,,
R006,R58/59,,
R006,I25/26,T05/05,
R006,I25/26,,
R006,I25/26,H28/29,
R006,I25/26,J10/11,
R006,I25/26,No Tag,
R006,I25/26,L72/73,
R006,I25/26,P70/P71,
R006,O38/39,,
R006,B16/17,N06/07,
R006,W28/29,,
R006,A32/33,Dead,
R006,A32/33,J20/21,
R006,A32/33,K76/77,
R006,A32/33,L80/81,
R006,A32/33,"""L9""",
R006,A32/33,P84/P85,
R006,K74/75,,
R006,N10/11,,
R011,M76/77 M,,
R011,E70/71 M,,
R011,I13/14 M,,
R011,V10/11 F,Dead F,
R011,B02/03 M,,
R016,I08/09,,
R016,V12/13,,
R016,O36/37,,
R016,B20/21,,
R016,W32/33,,
R016,A34/35,,
R016,N20/21,J42/43 F,
R016,N20/21,K94/95 M,
R016,N20/21,"""L1"" F",
R016,G30/31,"""L6"" M",
R016,H74/75,,
R016,RKB2,,
R016,L90/91,,
R017,R60/61,,
R017,O20/21,,
R017,B06/07,,
R017,W20/21,,
R017,A10/11,G16/17 M,
R017,A10/11,K92/93 M,
R017,A10/11,L64/65 F,
R017,A10/11,"""L4"" M",
R017,A10/11,P40/P41 M *See Note,
R017,T26/27,,
R017,K70/71,,
R017,L06/07,,
R017,N22/23,,
R308,A06/07,,
R308,T40/41,,
R308,K50/51,,
R308,L26/27,,
R308,N34/35,,
R308,F42/43,,
RH44,B08/09,,
RH44,W16/17,,
RH44,T22/23,F26/27 M,
RH44,T22/23,J26/27 M,
RH44,T22/23,L60/61 M,
RH44,T22/23,"""L7"" M",
RH44,T22/23,P36/P37 M,
RH44,K62/63,H62/63 F,
RH44,K62/63,K44/47 F,
RH44,K62/63,"""L2"" M",
RH44,K62/63,P88/P89 M,
RH44,L18/19 ,,
6AK/AJ,N16/17,K78/79 M,
6AK/AJ,N16/17,L62/63 F,
6AK/AJ,KC1/KC2,,
